symbol,broker,buy_qty,buy_amount,buy_trades,sell_qty,sell_amount,sell_trades,net_qty,net_amount,total_qty,total_amount,avg_buy_price,avg_sell_price,date,market_qty,market_amount,trade_count,active_brokers,buy_share,sell_share,vwap,buy_vwap_dev,sell_vwap_dev,cross_amount,cross_ratio
GBIME,1,510.0,202317.05,2.0,1120.0,1352575.15,4.0,-610.0,-1150258.0999999999,1630.0,1554892.2,396.7000980392157,1207.6563839285714,2026-05-12,225320,197945569.17,175,58,0.0022634475412746315,0.004970708325936446,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,2,5050.0,5005555.5600000005,2.0,5000.0,1132279.98,1.0,50.0,3873275.5800000005,10050.0,6137835.540000001,991.1991207920793,226.455996,2026-05-12,225320,197945569.17,175,58,0.022412568791052724,0.022190662169359134,878.5086506745961,0.12827474155314178,0.7422267887446445,0.0,0.0
GBIME,3,5600.0,5481936.6899999995,3.0,6250.0,4144759.32,7.0,-650.0,1337177.3699999996,11850.0,9626696.01,978.9172660714285,663.1614912,2026-05-12,225320,197945569.17,175,58,0.02485354162968223,0.02773832771169892,878.5086506745961,0.11429439575777645,0.24512810353003767,0.0,0.0
GBIME,4,11050.0,11852861.07,5.0,1260.0,1323879.47,5.0,9790.0,10528981.6,12310.0,13176740.540000001,1072.6571104072398,1050.697992063492,2026-05-12,225320,197945569.17,175,58,0.04904136339428369,0.005592046866678501,878.5086506745961,0.2209977779769834,0.0,0.0,0.0
GBIME,5,7150.0,3743424.74,6.0,5500.0,2729505.39,2.0,1650.0,1013919.3500000001,12650.0,6472930.130000001,523.5559076923078,496.2737072727273,2026-05-12,225320,197945569.17,175,58,0.03173264690218356,0.024409728386295047,878.5086506745961,0.0,0.43509525274265115,2123374.91,0.010727064611263914
GBIME,6,50.0,31159.48,1.0,5050.0,5046557.99,2.0,-5000.0,-5015398.51,5100.0,5077717.470000001,623.1896,999.3184138613861,2026-05-12,225320,197945569.17,175,58,0.00022190662169359134,0.022412568791052724,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,7,100.0,104485.47,1.0,5500.0,6141508.83,2.0,-5400.0,-6037023.36,5600.0,6245994.3,1044.8547,1116.637969090909,2026-05-12,225320,197945569.17,175,58,0.0004438132433871827,0.024409728386295047,878.5086506745961,0.18935049666007142,0.0,0.0,0.0
GBIME,8,1010.0,415907.57,2.0,5500.0,5552842.33,2.0,-4490.0,-5136934.76,6510.0,5968749.9,411.78967326732675,1009.6076963636364,2026-05-12,225320,197945569.17,175,58,0.004482513758210545,0.024409728386295047,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,9,5000.0,3739992.16,1.0,10550.0,13314792.2,4.0,-5550.0,-9574800.04,15550.0,17054784.36,747.998432,1262.0656113744076,2026-05-12,225320,197945569.17,175,58,0.022190662169359134,0.046822297177347774,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,10,17100.0,14045941.27,6.0,50.0,16622.43,1.0,17050.0,14029318.84,17150.0,14062563.7,821.4000742690058,332.4486,2026-05-12,225320,197945569.17,175,58,0.07589206461920824,0.00022190662169359134,878.5086506745961,0.0,0.6215761794209804,0.0,0.0
GBIME,11,6000.0,8642495.93,2.0,10.0,13007.97,1.0,5990.0,8629487.959999999,6010.0,8655503.9,1440.4159883333332,1300.797,2026-05-12,225320,197945569.17,175,58,0.02662879460323096,4.4381324338718264e-05,878.5086506745961,0.6396150307993613,0.0,0.0,0.0
GBIME,12,7100.0,3715417.87,5.0,5100.0,4403666.22,2.0,2000.0,-688248.3499999996,12200.0,8119084.09,523.2982915492958,863.4639647058823,2026-05-12,225320,197945569.17,175,58,0.03151074028048997,0.022634475412746317,878.5086506745961,0.0,0.017125256486844154,0.0,0.0
GBIME,13,150.0,186762.51,2.0,50.0,71948.78,1.0,100.0,114813.73000000001,200.0,258711.29,1245.0834,1438.9756,2026-05-12,225320,197945569.17,175,58,0.000665719865080774,0.00022190662169359134,878.5086506745961,0.4172693678587178,0.0,0.0,0.0
GBIME,14,10.0,7198.05,1.0,5050.0,7190214.55,2.0,-5040.0,-7183016.5,5060.0,7197412.6,719.8050000000001,1423.8048613861386,2026-05-12,225320,197945569.17,175,58,4.4381324338718264e-05,0.022412568791052724,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,15,5100.0,3392502.05,2.0,1000.0,299468.6,1.0,4100.0,3093033.4499999997,6100.0,3691970.65,665.1964803921568,299.4686,2026-05-12,225320,197945569.17,175,58,0.022634475412746317,0.0044381324338718265,878.5086506745961,0.0,0.6591170732695213,0.0,0.0
GBIME,16,150.0,145040.95,2.0,5050.0,2708614.72,2.0,-4900.0,-2563573.77,5200.0,2853655.6700000004,966.9396666666668,536.3593504950495,2026-05-12,225320,197945569.17,175,58,0.000665719865080774,0.022412568791052724,878.5086506745961,0.1006603815729823,0.38946605695551695,0.0,0.0
GBIME,17,1050.0,445495.92,2.0,2100.0,2477987.75,3.0,-1050.0,-2032491.83,3150.0,2923483.67,424.28182857142855,1179.9941666666666,2026-05-12,225320,197945569.17,175,58,0.004660039055565418,0.009320078111130836,878.5086506745961,0.0,0.0,0.0,0.0
GBIME,18,5500.0,1389173.58,2.0,1800.0,1577264.06,5.0,3700.0,-188090.47999999998,7300.0,2966437.64,252.57701454545455,876.2578111111111,2026-05-12,225320,197945569.17,175,58,0.024409728386295047,0.007988638380969288,878.5086506745961,0.0,0.002562114285108774,0.0,0.0
